taxon,devel.mode,devel.code,devel.color,egg.type,cleavage.pattern,citation
Catenulida,Direct,1,blue,ento,spiral,"Martin-Duran & Egger, 2012"
Macrostomorpha,Direct,1,blue,ento,spiral,
Polycladida,Both,0&1,grey,ento,spiral,
Prorhynchida,Direct,1,blue,ecto,spiral,Adell et al 2015
Gnosonosemida,Unknown,0&1,grey,ecto,spiral,Adell et al 2015
Rhabdocoela,Direct,1,blue,ecto,irregular,
Bothrioplanida,Direct,1,blue,ecto,disperse,Adell et al 2015
Trematoda,Indirect,0,red,ecto,disperse,"Adell et al 2015, Rawlinson 2014"
Cestoda,Indirect,0,red,ecto,disperse,Adell et al 2015
Monogenea,Indirect,0,red,ecto,disperse,Adell et al 2015
Tricladida,Direct,1,blue,ecto,disperse,
Prolecithophora,Direct,1,blue,ecto,disperse,
Fecampiida,Direct,1,blue,ecto,irregular,
Proseriata,Direct,1,blue,ecto,spiral,
