genus,devel.mode,devel.code,devel.color
Acanthozoon,Unknown,0&1,gray48
Armatoplana,Direct,1,darkslategray3
Boninia,Indirect,0,chocolate1
Cycloporus,Indirect,0,chocolate1
Echinoplana,Direct,1,darkslategray3
Enchiridium,Indirect,0,chocolate1
Eucestoplana,Unknown,0&1,gray48
Euplana,Direct,1,darkslategray3
Euprosthiostomum,Unknown,0&1,gray48
Geocentrophora,Direct,1,darkslategray3
Gnesioceros,Direct,1,darkslategray3
Gnosonesimida,Unknown,0&1,gray48
Planoceridae,Indirect,0,chocolate1
Idioplana,Unknown,0&1,gray48
Leptoplana,Direct,1,darkslategray3
Microstomum,Direct,1,darkslategray3
Notocomplana,Direct,1,darkslategray3
Pericelis,Both,0&1,gray48
Phaenocelis,Direct,1,darkslategray3
Phrikoceros,Indirect,0,chocolate1
Prorhynchus,Direct,1,darkslategray3
Prostheceraeus,Indirect,0,chocolate1
Prosthiostomum,Indirect,0,chocolate1
Pseudobiceros,Indirect,0,chocolate1
Pseudoceros,Indirect,0,chocolate1
Schmidtea,Direct,1,darkslategray3
Stenostomum,Direct,1,darkslategray3
Stylochus,Both,0&1,gray48
Taenia,Indirect,0,chocolate1
Theama,Direct,1,darkslategray3
Thysanozoon,Indirect,0,chocolate1
Xenoprorhynchus,Direct,1,darkslategray3
