species,devel.mode,devel.code,devel.ind,devel.dir
Acanthozoon sp,Unknown,0&1,gray48,
Armatoplana leptalea,Direct,1,darkslategray3,
Boninia divae,Indirect,0,chocolate1,
Cycloporus gabriellae,Indirect,0,chocolate1,
Echinoplana celerrima,Direct,1,darkslategray3,
Enchiridium periommatum,Indirect,0,chocolate1,
Eucestoplana sp,Unknown,0&1,gray48,
Euplana gracilis,Direct,1,darkslategray3,
Euprosthiostomum mortensi,Unknown,0&1,gray48,
Geocentrophora applanata,Direct,1,darkslategray3,
Gnesioceros sargassicola,Direct,1,darkslategray3,
Gnosonesimida sp IV,Unknown,0&1,gray48,
Planoceridae sp,Unknown,0&1,gray48,
Idioplana atlantica,Unknown,0&1,gray48,
Leptoplana tremellaris,Direct,1,darkslategray3,
Microstomum lineare,Direct,1,darkslategray3,
Notocomplana ferruginea,Direct,1,darkslategray3,
Notocomplana lapunda,Direct,1,darkslategray3,
Pericelis cata,Both,0&1,gray48,
Phaenocelis sp,Direct,1,darkslategray3,
Phrikoceros mopsus,Indirect,0,chocolate1,
Prorhynchus alpinus,Unknown,0&1,gray48,
Prorhynchus sp I,Unknown,0&1,gray48,
Prostheceraeus crozieri,Indirect,0,chocolate1,
Prostheceraeus vittatus,Indirect,0,chocolate1,
Prosthiostomum siphunculus,Indirect,0,chocolate1,
Prosthiostomum acroporae,Indirect,0,chocolate1,
Pseudobiceros damawan,Unknown,0&1,gray48,
Pseudoceros paralaticlavus,Indirect,0,chocolate1,
Schmidtea mediterranea,Direct,1,darkslategray3,
Stenostomum leucops,Direct,1,darkslategray3,
Stylochus ellipticus,Indirect,0,chocolate1,
Taenia solium,Indirect,0,chocolate1,
Theama mediterranea,Direct,1,darkslategray3,
Thysanozoon brocchii,Indirect,0,chocolate1,
Xenoprorhynchus sp I,Unknown,0&1,gray48,
